allocation,multiplexing,target_fidelity,scenario,run_idx,rate_hz,accepted_rate_hz,below_target_rate_hz,fidelity,accepted_fidelity,below_target_count,delivered_count,case_label
1:1,True,0.75,no TTL,13,100.5,99.5,1.0,0.8778698197670357,0.8793661678557543,2,201,allocation 1:1
1:1,True,0.75,no TTL,10,97.0,95.5,1.5,0.875522134917988,0.8780229283592688,3,194,allocation 1:1
1:1,True,0.75,no TTL,8,88.5,87.0,1.5,0.873325462932248,0.8760706860501529,3,177,allocation 1:1
1:1,True,0.75,no TTL,14,105.5,105.0,0.5,0.8761822071040465,0.8769741277767253,1,211,allocation 1:1
1:1,True,0.75,no TTL,22,104.0,103.0,1.0,0.8776817426764467,0.8791486342794591,2,208,allocation 1:1
1:1,True,0.75,no TTL,20,84.5,83.0,1.5,0.874844615991884,0.877627975771149,3,169,allocation 1:1
1:1,True,0.75,no TTL,24,90.5,90.0,0.5,0.8789260114660309,0.8796693984526062,1,181,allocation 1:1
1:1,True,0.75,no TTL,11,93.0,92.0,1.0,0.8784722112576759,0.8800561494322792,2,186,allocation 1:1
1:1,True,0.75,no TTL,2,93.0,92.5,0.5,0.8788814512226676,0.8796964900264812,1,186,allocation 1:1
1:1,True,0.75,no TTL,0,96.5,95.0,1.5,0.8770511144222806,0.8795503757874207,3,193,allocation 1:1
1:1,True,0.75,no TTL,4,97.5,97.0,0.5,0.8763592346601923,0.8771183820269384,1,195,allocation 1:1
1:1,True,0.75,no TTL,7,106.0,105.5,0.5,0.8820919597538246,0.8827314633336877,1,212,allocation 1:1
1:1,True,0.75,no TTL,18,108.0,107.0,1.0,0.8820907651144323,0.8833650765111568,2,216,allocation 1:1
1:1,True,0.75,no TTL,21,96.5,95.5,1.0,0.8815821480427043,0.8830077635909998,2,193,allocation 1:1
1:1,True,0.75,no TTL,9,106.0,105.5,0.5,0.8817591297235411,0.8825025608786466,1,212,allocation 1:1
1:1,True,0.75,no TTL,16,93.5,93.0,0.5,0.8801401002657122,0.8812105411179163,1,187,allocation 1:1
1:1,True,0.75,no TTL,30,95.5,95.5,0.0,0.8820126138978929,0.8820126138978929,0,191,allocation 1:1
1:1,True,0.75,no TTL,3,95.0,94.5,0.5,0.8787734290979998,0.8797124294549998,1,190,allocation 1:1
1:1,True,0.75,no TTL,1,101.5,100.5,1.0,0.881366391211173,0.88287939669186,2,203,allocation 1:1
1:1,True,0.75,no TTL,5,103.5,103.0,0.5,0.8786401251858125,0.8792975070786095,1,207,allocation 1:1
1:1,True,0.75,no TTL,6,94.5,94.5,0.0,0.8826684399307464,0.8826684399307464,0,189,allocation 1:1
1:1,True,0.75,no TTL,28,94.5,93.5,1.0,0.877912494528114,0.8796131233689987,2,189,allocation 1:1
1:1,True,0.75,no TTL,29,96.0,95.5,0.5,0.8807899990520269,0.8815541521676756,1,192,allocation 1:1
1:1,True,0.75,no TTL,12,91.0,89.5,1.5,0.8771024335654113,0.8796851886909491,3,182,allocation 1:1
1:1,True,0.75,no TTL,15,96.0,95.5,0.5,0.8796183222424669,0.8806128464704143,1,192,allocation 1:1
1:1,True,0.75,no TTL,27,102.5,102.0,0.5,0.8770275594744592,0.8777216371327375,1,205,allocation 1:1
1:1,True,0.75,no TTL,25,96.5,96.0,0.5,0.8799767149241319,0.8809970401365453,1,193,allocation 1:1
1:1,True,0.75,no TTL,23,95.5,95.0,0.5,0.8801477748148413,0.8808652447603379,1,191,allocation 1:1
1:1,True,0.75,no TTL,19,98.0,97.5,0.5,0.8801012098670691,0.8809838451226019,1,196,allocation 1:1
1:1,True,0.75,no TTL,26,89.5,88.0,1.5,0.8825272436677652,0.8852004921246436,3,179,allocation 1:1
1:1,True,0.75,no TTL,17,91.0,90.0,1.0,0.8779163507159905,0.8795053431517683,2,182,allocation 1:1
1:1,True,0.75,no TTL,46,97.0,96.0,1.0,0.8809162891915145,0.8825721171166919,2,194,allocation 1:1
1:1,True,0.75,no TTL,32,100.5,100.0,0.5,0.8785446238027196,0.8793429916061904,1,201,allocation 1:1
1:1,True,0.75,no TTL,34,97.5,97.0,0.5,0.8775652508022906,0.8784030928205503,1,195,allocation 1:1
1:1,True,0.75,no TTL,31,88.0,88.0,0.0,0.8809446923597659,0.8809446923597659,0,176,allocation 1:1
1:1,True,0.75,no TTL,40,90.5,90.0,0.5,0.8766204776244222,0.8775443619757956,1,181,allocation 1:1
1:1,True,0.75,no TTL,51,80.5,80.5,0.0,0.8772514477340272,0.8772514477340272,0,161,allocation 1:1
1:1,True,0.75,no TTL,33,97.5,97.0,0.5,0.8816860025884696,0.8824847782923649,1,195,allocation 1:1
1:1,True,0.75,no TTL,35,101.5,101.5,0.0,0.8784245765187799,0.8784245765187799,0,203,allocation 1:1
1:1,True,0.75,no TTL,37,91.5,91.5,0.0,0.876263204315948,0.876263204315948,0,183,allocation 1:1
1:1,True,0.75,no TTL,43,96.0,96.0,0.0,0.8815198270500602,0.8815198270500602,0,192,allocation 1:1
1:1,True,0.75,no TTL,38,94.0,94.0,0.0,0.8838527191709525,0.8838527191709525,0,188,allocation 1:1
1:1,True,0.75,no TTL,49,94.0,94.0,0.0,0.8823444046304408,0.8823444046304408,0,188,allocation 1:1
1:1,True,0.75,no TTL,45,94.5,94.0,0.5,0.8791556570837428,0.8799560055534181,1,189,allocation 1:1
1:1,True,0.75,no TTL,39,102.5,102.5,0.0,0.8804965650028781,0.8804965650028781,0,205,allocation 1:1
1:1,True,0.75,no TTL,42,98.5,98.5,0.0,0.8827943558218845,0.8827943558218845,0,197,allocation 1:1
1:1,True,0.75,no TTL,47,99.0,98.5,0.5,0.882238922095365,0.8829415131457452,1,198,allocation 1:1
1:1,True,0.75,no TTL,55,84.5,84.5,0.0,0.8787730346954542,0.8787730346954542,0,169,allocation 1:1
1:1,True,0.75,no TTL,44,100.0,99.5,0.5,0.878437516372746,0.8796355090130352,1,200,allocation 1:1
1:1,True,0.75,no TTL,56,107.0,107.0,0.0,0.8783615872082077,0.8783615872082077,0,214,allocation 1:1
1:1,True,0.75,no TTL,50,97.5,96.5,1.0,0.8786001473852034,0.8799883202585388,2,195,allocation 1:1
1:1,True,0.75,no TTL,48,102.0,102.0,0.0,0.8821238544220025,0.8821238544220025,0,204,allocation 1:1
1:1,True,0.75,no TTL,41,105.0,105.0,0.0,0.8856089907427065,0.8856089907427065,0,210,allocation 1:1
1:1,True,0.75,no TTL,36,118.5,118.0,0.5,0.8810983919047336,0.8816892050342032,1,237,allocation 1:1
1:1,True,0.75,no TTL,57,95.0,94.5,0.5,0.8786061601245383,0.8793993665549075,1,190,allocation 1:1
1:1,True,0.75,no TTL,54,99.5,99.5,0.0,0.8827729297422424,0.8827729297422424,0,199,allocation 1:1
1:1,True,0.75,no TTL,53,93.0,93.0,0.0,0.8799178728289042,0.8799178728289042,0,186,allocation 1:1
1:1,True,0.75,no TTL,52,82.0,81.0,1.0,0.8808116209868032,0.8825290407215881,2,164,allocation 1:1
1:1,True,0.75,no TTL,59,96.5,96.5,0.0,0.8792601369379957,0.8792601369379957,0,193,allocation 1:1
1:1,True,0.75,no TTL,60,89.5,89.5,0.0,0.8816786137748227,0.8816786137748227,0,179,allocation 1:1
1:1,True,0.75,no TTL,58,86.5,86.5,0.0,0.8809721831108942,0.8809721831108942,0,173,allocation 1:1
1:1,True,0.75,no TTL,61,99.0,98.5,0.5,0.880642224342491,0.8813325835264206,1,198,allocation 1:1
1:1,True,0.75,no TTL,62,93.0,92.5,0.5,0.8779517642668268,0.8787461283239185,1,186,allocation 1:1
1:1,True,0.75,no TTL,67,99.0,97.5,1.5,0.8773364580918906,0.8794776003740883,3,198,allocation 1:1
1:1,True,0.75,no TTL,65,102.0,101.0,1.0,0.8825957977172199,0.8842365554640523,2,204,allocation 1:1
1:1,True,0.75,no TTL,63,95.0,94.5,0.5,0.8795835719439984,0.8802885659557744,1,190,allocation 1:1
1:1,True,0.75,no TTL,64,99.5,99.0,0.5,0.8788143176409017,0.8795384519866352,1,199,allocation 1:1
1:1,True,0.75,no TTL,69,91.5,91.0,0.5,0.8795728061338028,0.8803029868697586,1,183,allocation 1:1
1:1,True,0.75,no TTL,68,100.5,99.5,1.0,0.8751232678453493,0.8770042693845496,2,201,allocation 1:1
1:1,True,0.75,no TTL,75,96.5,95.0,1.5,0.8758359618386931,0.8780896624754122,3,193,allocation 1:1
1:1,True,0.75,no TTL,70,94.0,94.0,0.0,0.8780943881063447,0.8780943881063447,0,188,allocation 1:1
1:1,True,0.75,no TTL,79,91.5,91.0,0.5,0.8750355411679852,0.8759853430018946,1,183,allocation 1:1
